page,text,x,y
1,"Scoping of Digital Interactions
",70.944,379.28
1,"Energy & Utilities – Private Market : 30 M customers
",229.85,327.77
1,"CONTEXT AND OBJECTIVES
• The client offers a wide range of digital Customer Relationship assets to its 
",14.184,302.01
1,"•
",14.328,240.43768
1,"Private customers with different levels of maturity (search engine, virtual agent, 
Chat, Web Call Back, Forum, Social Networks...)
In order to develop its Customer Relationship as a key differentiator on the 
market, the client wishes to re-define a global and consistent target vision of its 
Customer Relationship on digital platforms
",27.888,268.87
1,"• VERTONE has supported the client in the scoping and definition of this target 
",14.328,199.85
1,"vision including a 3 year roadmap
",27.888,187.25
1,"MAIN STEPS OF THE PROJECT
",14.184,162.33
1,"• Perform an As-Is assessment of the current digital Customer Relationship in 
",14.4,139.89999999999998
1,"terms of customer experience and internal organization, by conducting 20 
interviews with different departments and teams (Strategy, Innovation, Digital, 
Operations, Communication…)
Identify key market trends
Identify key strategic questions to address in the target definition
",27.96,127.27
1,"•
",14.4,86.23968
1,"•
",14.4,70.63968
1,"• Define the target vision in 3 workshops with the client teams 
• Define a 3-year roadmap incl. work streams to launch
",14.4,55.248000000000005
1,"Trends on Digital Customer Relationship
",457.75,298.54
1,"RESULTS
",388.46,121.1
1,"• Definition of the target digital Customer Relationship, in a short 
",388.78,98.928
1,"timeframe of 2 months : presented and validated by the Marketing 
Management Committee, and shared with the Communications and 
Operations departments
",402.34,86.328
1,"• Definition of project work streams to reach the target, and launch of 
",388.78,45.528
1,"the short term work streams incl. Identification of Quick Wins
",402.34,32.946
2,"Opportunity study on MRM tool implementation in a Marketing Campaign 
Department
",70.584,391.28
2,"Energy & Utilities – Revenue (2013) = € 76 billion - 28 M clients
",203.69,327.77
2,"CONTEXT AND OBJECTIVES
•
",14.184,302.01
2,"In order to improve operational effectiveness, the Marketing Department 
decided to examine the opportunity of implementing a Marketing Resource 
Management (MRM) tool.
",27.888,281.47
2,"• This kind of back-office marketing tool enables better cooperation between 
internal and external teams, better activity reporting and asset management.
In this respect, VERTONE was in charge of leading an opportunity study, 
considering the needs and processes of marketing campaign teams
",14.328,240.67
2,"•
",14.328,212.255152
2,"Comparison between business needs and MRM functionalities
",412.75,297.63000000000005
2,"MAIN STEPS OF THE PROJECT
",14.184,162.33
2,"•
",14.4,139.66768
2,"•
",14.4,111.43768
2,"Interview each campaign marketing team to establish an audit of marketing 
processes and needs
Interview major MRM editors to realize a benchmark of 5 MRM tools 
(functionality study, cost study, project approach, etc.)
",27.96,139.89999999999998
2,"RESULTS
",388.46,106.17
2,"• Organize a Customer success story meeting
• Evaluate the investment size of the project
",14.4,83.47200000000001
